,latitude,longitude,geoname_id,location_type_name,location_type_code,location_details
1445,-0.329,35.944,7646401,populated place,PPL,
1446,-0.36667,35.93333,198713,school,SCH,
1447,0.5,35.31667,178837,first-order administrative division,ADM1,border of Western Province and Rift Valley Province
1448,-0.069,34.64,191242,first-order administrative division,ADM1,border of Western Province and Rift Valley Province
1449,-0.10221,34.76171,191245,seat of a first-order administrative division,PPLA,border of Western Province and Rift Valley Province
1450,0.52036,35.26993,198629,seat of a first-order administrative division,PPLA,border of Western Province and Rift Valley Province
1451,0.5,36.0,400744,historical first-order administrative division,ADM1H,border of Western Province and Rift Valley Province
1452,0.5,34.58333,400743,historical first-order administrative division,ADM1H,border of Western Province and Rift Valley Province
1453,,,2464461,independent political entity,PCLI,
1454,,,357994,independent political entity,PCLI,
1455,,,932692,independent political entity,PCLI,
1456,,,953987,independent political entity,PCLI,
1457,,,2434508,independent political entity,PCLI,
1458,,,953987,independent political entity,PCLI,
1459,-25.74486,28.18783,964137,capital of a political entity,PPLC,
1460,-33.92584,18.42322,3369157,seat of a first-order administrative division,PPLA,
1461,-26.20227,28.04363,993800,seat of a first-order administrative division,PPLA,
1462,,,953987,independent political entity,PCLI,
1463,0.0,37.518,186824,first-order administrative division,ADM1,
1464,-0.75,34.83333,191298,first-order administrative division,ADM1,
1465,0.04626,37.65587,186827,seat of a first-order administrative division,PPLA,
1466,-0.68174,34.76666,191299,seat of a first-order administrative division,PPLA,
1467,0.23,37.93,7667663,second-order administrative division,ADM2,
1468,-0.32684,37.66079,7733025,second-order administrative division,ADM2,
1469,-3.0,39.5,199247,historical first-order administrative division,ADM1H,Rabai - Malindi - Garsen - Lamu
1470,,,878675,independent political entity,PCLI,
1471,-25.74486,28.18783,964137,capital of a political entity,PPLC,Tshwane University of Technology
1472,-25.7322,28.1617,8468909,university,UNIV,Tshwane University of Technology
1473,-25.7322,28.1617,8468909,university,UNIV,
1474,,,953987,independent political entity,PCLI,
1475,0.31628,32.58219,232422,capital of a political entity,PPLC,
1476,0.35,32.58333,228828,section of populated place,PPLX,
1477,,,878675,independent political entity,PCLI,"Hatcliffe, Zimbabwe"
1478,-17.82772,31.05337,890299,capital of a political entity,PPLC,"Harare, Zimbabwe"
1479,,,953987,independent political entity,PCLI,
1480,,,878675,independent political entity,PCLI,
1481,-2.5805,29.716,383968,populated place,PPL,"Huye District, Southern Province, Rwanda"
1482,-2.582,29.702,8378550,historical second-order administrative division,ADM2H,"Huye District, Southern Province, Rwanda"
1483,-17.85417,31.05833,1105844,first-order administrative division,ADM1,
1484,-17.82772,31.05337,890299,capital of a political entity,PPLC,
1485,,,878675,independent political entity,PCLI,
1486,,,878675,independent political entity,PCLI,
1487,,,953987,independent political entity,PCLI,
1488,,,192950,independent political entity,PCLI,
1489,,,192950,independent political entity,PCLI,
1490,-17.82772,31.05337,890299,capital of a political entity,PPLC,"Harare, Zimbabwe"
1491,,,878675,independent political entity,PCLI,
1492,,,878675,independent political entity,PCLI,
1493,,,878675,independent political entity,PCLI,
1494,-1.41846,30.4129,8354638,historical first-order administrative division,ADM1H,Umutara 
1495,,,49518,independent political entity,PCLI,
1496,-1.91667,30.08333,6413338,first-order administrative division,ADM1,Nyarutarama and Kinyinya
1497,-1.9428,30.1721,202457,populated place,PPL,Nyarutarama and Kinyinya
1498,-1.9077,30.1106,202776,populated locality,PPLL,Nyarutarama and Kinyinya
1499,-1.9396,30.1017,7595607,populated locality,PPLL,Nyarutarama and Kinyinya
1500,-17.82772,31.05337,890299,capital of a political entity,PPLC,"Harare, Zimbabwe"
1501,-17.82772,31.05337,890299,capital of a political entity,PPLC,"Harare, Zimbabwe"
1502,,,192950,independent political entity,PCLI,
1503,,,2440476,independent political entity,PCLI,
1504,,,878675,independent political entity,PCLI,
1505,,,878675,independent political entity,PCLI,
1506,-13.5,34.0,931597,first-order administrative division,ADM1,
1507,-13.03333,33.48333,928534,seat of a second-order administrative division,PPLA2,
1508,-11.422,33.99323,7839253,university,UNIV,
1509,-13.96692,33.78725,927967,capital of a political entity,PPLC,
1510,12.65,-8.0,2460596,capital of a political entity,PPLC,
1511,,,2453866,independent political entity,PCLI,
1512,,,878675,independent political entity,PCLI,
